consult_id,agent_id,is_recontact,csat
CON0029,AG09,N,2
CON0031,AG09,N,2
CON0061,AG14,N,2
CON0163,AG19,Y,5
CON0239,AG07,N,2
CON0296,AG10,Y,3
CON0343,AG06,N,4
CON0451,AG13,N,2
CON0549,AG13,N,3
CON0569,AG16,N,4
CON0575,AG07,Y,4
CON0632,AG13,Y,1
CON0807,AG06,N,3
CON1015,AG07,N,2
CON1109,AG01,Y,4
CON1154,AG08,N,2
CON1203,AG15,N,3
CON1315,AG12,Y,3
CON1316,AG05,Y,3
CON0122,AG17,N,2
CON0171,AG10,Y,3
CON0726,AG05,N,4
CON0028,AG04,Y,1
CON0398,AG17,Y,4
CON0432,AG20,N,4
CON1034,AG08,Y,4
CON1229,AG18,Y,2
CON0082,AG19,N,4
CON0109,AG03,N,2
CON0225,AG18,N,1
CON0289,AG16,Y,5
CON0625,AG03,N,3
CON0663,AG06,N,4
CON0740,AG16,N,4
CON0830,AG13,N,4
CON0998,AG15,N,3
CON1105,AG04,N,4
CON1232,AG07,N,4
CON0064,AG07,Y,2
CON0216,AG14,N,2
CON0577,AG01,N,3
CON0798,AG03,N,3
CON1107,AG01,Y,3
CON0092,AG04,Y,2
CON0650,AG12,N,4
CON0692,AG04,N,4
CON0882,AG01,N,4
CON1091,AG20,Y,2
CON1273,AG18,N,4
CON1320,AG02,N,4
CON0032,AG06,Y,4
CON0188,AG18,Y,3
CON0526,AG17,N,3
CON0545,AG15,N,4
CON0851,AG13,Y,3
CON1010,AG17,Y,2
CON1013,AG05,N,2
CON1310,AG03,N,3
CON0147,AG06,N,1
CON0162,AG08,N,4
CON0507,AG14,N,5
CON0662,AG09,Y,4
CON0811,AG07,N,3
CON1289,AG01,N,4
CON0254,AG11,N,5
CON0697,AG02,Y,2
CON1021,AG02,N,3
CON1136,AG09,N,3
CON1213,AG06,N,4
CON0571,AG05,Y,3
CON0648,AG03,N,3
CON0686,AG03,Y,3
CON0858,AG08,N,5
CON0556,AG06,Y,4
CON0635,AG07,N,2
CON0117,AG07,N,3
CON0459,AG13,N,3
CON0640,AG08,Y,4
CON1048,AG15,Y,5
CON1224,AG09,N,4
CON0288,AG07,N,3
CON0708,AG13,N,4
CON1012,AG11,N,5
CON1144,AG11,N,4
CON0140,AG12,N,4
CON0224,AG14,Y,4
CON0580,AG13,N,4
CON1054,AG17,N,4
CON0169,AG02,N,4
CON0745,AG05,N,3
CON1004,AG08,N,5
CON1117,AG12,N,4
CON0153,AG11,N,1
CON0408,AG01,N,4
CON0878,AG04,N,4
CON0914,AG12,N,5
CON0629,AG13,N,3
CON0649,AG02,N,5
CON0758,AG07,N,4
CON1027,AG14,N,4
CON1269,AG03,N,3
CON1297,AG05,N,2
CON0368,AG18,N,5
CON0479,AG19,N,5
CON0696,AG14,N,4
CON0718,AG04,N,4
CON0931,AG04,N,3
CON1103,AG20,N,3
CON0499,AG18,N,4
CON0565,AG13,Y,3
CON0713,AG09,Y,5
CON1041,AG15,N,4
CON0003,AG16,N,4
CON0010,AG13,N,5
CON0566,AG02,N,5
CON0676,AG03,N,4
CON0768,AG08,N,3
CON0194,AG03,N,5
CON0554,AG09,N,5
CON0324,AG04,N,4
CON0593,AG04,N,4
CON0715,AG08,N,3
CON1228,AG09,N,4
CON0114,AG11,N,2
CON0969,AG01,N,4
CON0038,AG17,N,4
CON0395,AG02,Y,3
CON0449,AG06,N,1
CON0467,AG02,N,1
CON0519,AG11,Y,2
CON0574,AG20,N,3
CON0582,AG13,N,3
CON0631,AG17,Y,3
CON0910,AG08,Y,3
CON0945,AG18,N,3
CON1065,AG03,N,1
CON1093,AG01,N,1
CON1216,AG15,N,3
CON0552,AG13,N,3
CON0677,AG08,N,4
CON0423,AG14,N,3
CON0620,AG14,N,4
CON0480,AG16,N,3
CON0912,AG12,N,2
CON1075,AG01,N,5
CON1314,AG01,N,3
CON0579,AG13,Y,3
CON0928,AG17,Y,2
CON1225,AG19,N,3
CON0076,AG14,N,2
CON0221,AG16,N,2
CON0268,AG13,N,4
CON0653,AG19,N,3
CON0661,AG04,Y,3
CON1135,AG12,Y,3
CON0035,AG09,N,5
CON0047,AG09,Y,3
CON0364,AG02,N,2
CON0483,AG15,Y,4
CON0874,AG11,N,3
CON0938,AG02,N,3
CON1000,AG11,N,3
CON1153,AG04,N,3
CON1275,AG02,N,2
CON0090,AG07,N,2
CON0240,AG18,Y,3
CON0371,AG02,N,4
CON0427,AG06,Y,2
CON0514,AG12,N,4
CON0641,AG20,N,3
CON0779,AG14,Y,3
CON0952,AG02,Y,2
CON1284,AG07,N,4
CON0176,AG01,N,3
CON0466,AG07,Y,2
CON0487,AG05,N,2
CON0572,AG03,N,3
CON0891,AG14,Y,4
CON1145,AG05,N,4
CON1171,AG14,N,3
CON0401,AG06,Y,4
CON0443,AG18,N,2
CON0567,AG05,N,4
CON0725,AG08,N,2
CON0735,AG04,N,3
CON0860,AG18,N,3
CON0986,AG16,N,5
CON0110,AG03,N,3
CON0710,AG16,Y,4
CON0809,AG16,N,4
CON0909,AG05,N,2
CON1051,AG17,N,3
CON0016,AG04,N,1
CON0062,AG18,N,4
CON1096,AG12,N,4
CON1120,AG06,Y,4
CON0824,AG03,N,2
CON0925,AG13,N,4
CON1191,AG17,Y,3
CON1307,AG12,N,4
CON0278,AG07,N,2
CON0560,AG04,N,3
CON0639,AG18,N,4
CON0612,AG01,N,3
CON1026,AG18,N,5
CON1262,AG01,N,4
CON1292,AG01,N,5
CON0264,AG03,N,4
CON0610,AG02,N,4
CON0670,AG11,N,3
CON0484,AG03,N,3
CON0615,AG16,Y,4
CON0948,AG10,N,4
CON0135,AG02,N,4
CON0589,AG09,N,5
CON0595,AG06,N,4
CON0959,AG12,Y,2
CON1101,AG20,Y,4
CON1106,AG02,N,3
CON0104,AG13,N,4
CON0248,AG06,N,3
CON0273,AG06,N,4
CON0301,AG03,N,3
CON0429,AG05,N,4
CON0279,AG04,N,4
CON0503,AG11,N,3
CON0522,AG10,N,5
CON0736,AG14,N,4
CON0465,AG17,N,1
CON0761,AG12,N,4
CON1062,AG05,N,3
CON1207,AG14,N,2
CON0916,AG08,N,3
CON0142,AG05,N,4
CON0890,AG16,Y,5
CON0957,AG17,N,4
CON0585,AG13,N,3
CON0704,AG16,N,5
CON0244,AG08,Y,4
CON0355,AG04,Y,2
CON0365,AG19,N,3
CON0387,AG18,N,2
CON0407,AG16,N,3
CON0446,AG20,N,2
CON0481,AG02,N,2
CON0532,AG08,Y,2
CON0622,AG13,Y,1
CON0652,AG08,Y,3
CON0754,AG17,Y,3
CON0793,AG13,N,2
CON0871,AG08,N,2
CON0895,AG18,N,4
CON0897,AG07,N,2
CON1066,AG11,N,2
CON1104,AG03,Y,2
CON1151,AG02,N,4
CON1166,AG14,Y,2
CON1220,AG02,N,2
CON1230,AG17,N,3
CON1246,AG15,Y,2
CON1302,AG11,N,1
CON0486,AG13,N,3
CON1187,AG07,N,1
CON0129,AG05,Y,3
CON0586,AG17,Y,3
CON0658,AG10,N,2
CON0107,AG19,Y,3
CON0193,AG16,N,3
CON0517,AG08,N,5
CON0906,AG06,N,3
CON1167,AG14,Y,1
CON1198,AG04,N,4
CON1202,AG05,N,2
CON1242,AG08,N,4
CON0074,AG17,N,5
CON0528,AG12,Y,4
CON0547,AG14,Y,4
CON0634,AG12,N,3
CON0770,AG04,N,4
CON1205,AG15,N,3
CON1223,AG08,N,4
CON0024,AG10,N,4
CON0729,AG08,N,3
CON0744,AG19,N,1
CON0885,AG17,Y,4
CON1038,AG11,N,5
CON0005,AG03,N,4
CON0060,AG07,N,3
CON0267,AG17,N,4
CON0276,AG03,N,3
CON0287,AG13,Y,3
CON0310,AG09,N,3
CON0337,AG13,N,2
CON0608,AG11,N,5
CON1193,AG18,N,3
CON0087,AG07,Y,3
CON0144,AG02,N,4
CON0346,AG15,N,3
CON0420,AG11,N,4
CON0850,AG11,N,3
CON0933,AG03,N,1
CON0935,AG08,N,4
CON1087,AG07,Y,3
CON1139,AG10,N,4
CON1257,AG02,N,3
CON0220,AG12,N,5
CON0237,AG04,N,2
CON0660,AG16,N,4
