consult_id,customer_id,consult_date,channel,category,duration_min,status,is_recontact,agent_id
CON1321,C312,2025-01-01,채팅,요금문의,17.0,완료,N,AG17
CON1322,C440,2025-01-01,채팅,장애신고,32.0,재문의,Y,AG06
CON1323,C231,2025-01-01,이메일,요금문의,25.0,완료,N,AG11
CON1324,C490,2025-01-01,이메일,요금문의,30.0,재문의,Y,AG15
CON1325,C461,2025-01-01,전화,장애신고,9.0,완료,N,AG19
CON1326,C160,2025-01-01,전화,요금문의,14.0,미해결,N,AG13
CON1327,C103,2025-01-02,전화,해지문의,37.0,완료,N,AG09
CON1328,C166,2025-01-02,전화,명의변경,13.0,완료,N,AG17
CON1329,C012,2025-01-02,전화,해지문의,28.0,완료,N,AG15
CON1330,C291,2025-01-03,전화,부가서비스,6.0,완료,N,AG18
CON1331,C071,2025-01-03,이메일,부가서비스,35.0,완료,N,AG12
CON1332,C211,2025-01-03,전화,해지문의,28.0,미해결,Y,AG13
CON1333,C015,2025-01-04,전화,해지문의,28.0,완료,N,AG18
CON1334,C437,2025-01-05,이메일,장애신고,23.0,완료,N,AG01
CON1335,C165,2025-01-05,전화,해지문의,30.0,재문의,N,AG17
CON1336,C359,2025-01-05,전화,요금문의,3.0,미해결,N,AG16
CON1337,C217,2025-01-06,전화,해지문의,,완료,N,AG02
CON1338,C281,2025-01-06,채팅,부가서비스,,미해결,Y,AG01
CON1339,C424,2025-01-07,전화,요금문의,,완료,N,AG12
CON1340,C276,2025-01-07,앱,부가서비스,19.0,완료,N,AG03
CON1341,C394,2025-01-07,채팅,요금문의,,미해결,N,AG05
CON1342,C278,2025-01-08,채팅,요금문의,6.0,완료,Y,AG09
CON1343,C123,2025-01-08,앱,요금문의,,완료,N,AG01
CON1344,C475,2025-01-08,전화,기타,32.0,완료,N,AG12
CON1345,C259,2025-01-08,전화,요금문의,28.0,완료,Y,AG20
CON1346,C114,2025-01-08,이메일,요금문의,34.0,완료,N,AG20
CON1347,C105,2025-01-08,전화,해지문의,8.0,미해결,N,AG05
CON1348,C246,2025-01-09,이메일,명의변경,4.0,완료,N,AG19
CON1349,C071,2025-01-10,전화,장애신고,,완료,N,AG02
CON1350,C391,2025-01-10,채팅,해지문의,22.0,완료,N,AG06
CON1351,C169,2025-01-10,채팅,장애신고,,완료,N,AG04
CON1352,C003,2025-01-11,채팅,부가서비스,2.0,미해결,N,AG19
CON1353,C231,2025-01-11,채팅,요금문의,25.0,완료,N,AG10
CON1354,C071,2025-01-12,이메일,요금문의,,완료,N,AG09
CON1355,C171,2025-01-12,채팅,요금문의,,미해결,N,AG02
CON1356,C069,2025-01-12,전화,명의변경,36.0,완료,N,AG01
CON1357,C121,2025-01-12,전화,해지문의,26.0,재문의,Y,AG12
CON1358,C485,2025-01-12,전화,장애신고,36.0,완료,N,AG04
CON1359,C139,2025-01-12,전화,부가서비스,,완료,N,AG03
CON1360,C364,2025-01-13,채팅,요금문의,26.0,완료,N,AG12
CON1361,C096,2025-01-13,전화,요금문의,33.0,완료,N,AG16
CON1362,C343,2025-01-14,전화,요금문의,30.0,완료,N,AG01
CON1363,C088,2025-01-14,채팅,기타,18.0,완료,N,AG15
CON1364,C151,2025-01-14,채팅,요금문의,,완료,N,AG03
CON1365,C267,2025-01-15,채팅,요금문의,,완료,Y,AG17
CON1366,C062,2025-01-15,전화,해지문의,2.0,완료,N,AG11
CON1367,C243,2025-01-15,앱,장애신고,15.0,미해결,N,AG11
CON1368,C028,2025-01-15,전화,해지문의,21.0,재문의,Y,AG16
CON1369,C113,2025-01-16,전화,요금문의,19.0,완료,N,AG14
CON1370,C232,2025-01-17,채팅,부가서비스,8.0,완료,N,AG15
CON1371,C307,2025-01-17,전화,명의변경,5.0,재문의,N,AG20
CON1372,C204,2025-01-17,전화,기타,2.0,재문의,N,AG15
CON1373,C086,2025-01-17,이메일,해지문의,,완료,N,AG13
CON1374,C492,2025-01-18,이메일,기타,15.0,완료,N,AG11
CON1375,C260,2025-01-18,앱,요금문의,,미해결,N,AG11
CON1376,C308,2025-01-18,전화,장애신고,4.0,완료,N,AG11
CON1377,C385,2025-01-18,채팅,명의변경,9.0,재문의,Y,AG03
CON1378,C331,2025-01-18,앱,해지문의,22.0,재문의,Y,AG07
CON1379,C037,2025-01-19,이메일,명의변경,18.0,미해결,N,AG06
CON1380,C175,2025-01-19,앱,요금문의,,완료,N,AG03
CON1381,C350,2025-01-19,채팅,해지문의,23.0,완료,N,AG20
CON1382,C067,2025-01-19,전화,해지문의,14.0,완료,N,AG10
CON1383,C415,2025-01-19,채팅,장애신고,24.0,미해결,N,AG16
CON1384,C008,2025-01-20,이메일,명의변경,11.0,완료,N,AG17
CON1385,C176,2025-01-20,채팅,요금문의,7.0,미해결,N,AG01
CON1386,C174,2025-01-20,채팅,요금문의,27.0,완료,N,AG03
CON1387,C058,2025-01-20,채팅,장애신고,27.0,완료,N,AG07
CON1388,C406,2025-01-21,앱,해지문의,30.0,완료,N,AG14
CON1389,C461,2025-01-21,채팅,기타,2.0,완료,N,AG14
CON1390,C429,2025-01-21,이메일,요금문의,,완료,N,AG17
CON1391,C054,2025-01-21,앱,해지문의,14.0,완료,N,AG01
CON1392,C345,2025-01-21,전화,부가서비스,31.0,완료,N,AG13
CON1393,C218,2025-01-21,전화,장애신고,14.0,완료,N,AG13
CON1394,C324,2025-01-22,채팅,부가서비스,6.0,완료,N,AG11
CON1395,C488,2025-01-22,이메일,부가서비스,,완료,N,AG04
CON1396,C398,2025-01-22,전화,요금문의,,완료,N,AG20
CON1397,C195,2025-01-22,이메일,기타,33.0,완료,N,AG16
CON1398,C179,2025-01-23,전화,해지문의,13.0,완료,N,AG09
CON1399,C342,2025-01-23,채팅,해지문의,1.0,완료,N,AG03
CON1400,C011,2025-01-23,채팅,부가서비스,1.0,미해결,N,AG20
CON1401,C485,2025-01-23,이메일,부가서비스,36.0,미해결,N,AG13
CON1402,C294,2025-01-23,전화,요금문의,21.0,완료,N,AG07
CON1403,C392,2025-01-23,채팅,부가서비스,9.0,완료,N,AG16
CON1404,C100,2025-01-24,전화,요금문의,,완료,N,AG17
CON1405,C381,2025-01-24,전화,요금문의,22.0,완료,N,AG12
CON1406,C036,2025-01-24,채팅,요금문의,16.0,완료,Y,AG04
CON1407,C404,2025-01-24,채팅,장애신고,16.0,미해결,N,AG10
CON1408,C403,2025-01-24,전화,기타,20.0,재문의,N,AG16
CON1409,C332,2025-01-25,전화,장애신고,8.0,완료,N,AG08
CON1410,C041,2025-01-26,채팅,해지문의,5.0,완료,N,AG02
CON1411,C390,2025-01-26,전화,요금문의,33.0,재문의,N,AG18
CON1412,C209,2025-01-26,전화,부가서비스,1.0,미해결,N,AG15
CON1413,C359,2025-01-26,채팅,요금문의,4.0,완료,N,AG15
CON1414,C048,2025-01-26,전화,해지문의,12.0,완료,N,AG13
CON1415,C381,2025-01-27,채팅,장애신고,11.0,미해결,N,AG09
CON1416,C457,2025-01-27,이메일,해지문의,15.0,완료,N,AG08
CON1417,C489,2025-01-27,이메일,요금문의,25.0,미해결,N,AG19
CON1418,C112,2025-01-27,앱,해지문의,12.0,재문의,N,AG07
CON1419,C246,2025-01-28,채팅,부가서비스,17.0,완료,Y,AG06
CON1420,C482,2025-01-28,이메일,기타,,완료,N,AG18
CON1421,C336,2025-01-28,채팅,요금문의,30.0,완료,N,AG05
CON1422,C331,2025-01-28,전화,해지문의,12.0,완료,Y,AG16
CON1423,C070,2025-01-28,전화,장애신고,24.0,재문의,N,AG10
CON1424,C094,2025-01-30,전화,명의변경,8.0,미해결,N,AG14
CON1425,C391,2025-01-30,앱,요금문의,1.0,완료,N,AG11
CON1426,C375,2025-01-30,앱,명의변경,,완료,N,AG18
CON1427,C290,2025-01-30,전화,장애신고,6.0,완료,N,AG18
CON1428,C238,2025-01-30,채팅,해지문의,8.0,완료,N,AG13
CON1429,C071,2025-01-30,앱,장애신고,9.0,완료,N,AG10
CON1430,C039,2025-01-30,채팅,요금문의,16.0,재문의,Y,AG07
